ticker,industry
CBT,specialty chemicals
CBTX,banks
CBU,banks
CBZ,business support services
CC,commodity chemicals
CCBG,banks
CCCL,construction supplies & fixtures
CCCR,consumer lending
CCE,non-alcoholic beverages
CCF,electrical components & equipment
CCI,specialized reits
CCIH,it services & consulting
CCJ,uranium
CCK,non-paper containers & packaging
CCL,"hotels, motels & cruise lines"
CCLP,oil related services and equipment
CCM,healthcare facilities & services
CCMP,semiconductors
CCNE,banks
CCO,advertising & marketing
CCOI,integrated telecommunications services
CCOR,exchange traded fund
CCR,coal
CCRC,business support services
CCRN,employment services
CCS,homebuilding
CCT,closed end funds
CCU,brewers
CCXI,pharmaceuticals
CDAY,software
CDC,exchange traded fund
CDE,precious metals & minerals
CDEV,integrated oil & gas
CDK,software
CDL,exchange traded fund
CDLX,advertising & marketing
CDMO,pharmaceuticals
CDNA,biotechnology & medical research
CDNS,software
CDOR,specialized reits
CDR,commercial reits
CDTI,"auto, truck & motorcycle parts"
CDTX,biotechnology & medical research
CDW,it services & consulting
CDXC,biotechnology & medical research
CDXS,biotechnology & medical research
CDZI,water utilities
CE,commodity chemicals
CEA,airlines
CECE,environmental services & equipment
CECO,personal services
CEFS,exchange traded fund
CEI,oil & gas exploration and production
CEIX,coal
CEL,wireless telecommunications services
CELC,biotechnology & medical research
CELG,pharmaceuticals
CELH,pharmaceuticals
CELP,oil related services and equipment
CEMB,exchange traded fund
CEMI,pharmaceuticals
CENT,food processing
CENTA,food processing
CENX,aluminum
CEO,oil & gas exploration and production
CEPU,independent power producers
CEQP,oil & gas refining and marketing
CERC,biotechnology & medical research
CERN,advanced medical equipment & technology
CERS,"medical equipment, supplies & distribution"
CETV,broadcasting
CETX,environmental services & equipment
CEVA,semiconductors
CEW,exchange traded fund
CEY,exchange traded fund
CEZ,exchange traded fund
CF,agricultural chemicals
CFA,exchange traded fund
CFBI,banks
CFBK,banks
CFFI,banks
CFFN,banks
CFG,banks
CFMS,"medical equipment, supplies & distribution"
CFO,exchange traded fund
CFR,banks
CFRX,biotechnology & medical research
CFX,industrial machinery & equipment
CG,investment management & fund operators
CGA,agricultural chemicals
CGBD,corporate financial services
CGC,pharmaceuticals
CGEN,biotechnology & medical research
CGIX,healthcare facilities & services
CGNX,industrial machinery & equipment
CGW,exchange traded fund
CHA,wireless telecommunications services
CHAD,exchange traded fund
CHAU,exchange traded fund
CHCI,real estate development & operations
CHCO,banks
CHCT,specialized reits
CHD,household products
CHDN,casinos & gaming
CHE,healthcare facilities & services
CHEF,food retail & distribution
CHEK,pharmaceuticals
CHFC,banks
CHFN,banks
CHFS,advanced medical equipment & technology
CHGG,professional information services
CHGX,exchange traded fund
CHH,"hotels, motels & cruise lines"
CHIE,exchange traded fund
CHII,exchange traded fund
CHIM,exchange traded fund
CHIQ,exchange traded fund
CHIX,exchange traded fund
CHK,oil & gas exploration and production
CHKE,casinos & gaming
CHKP,software
CHKR,oil & gas exploration and production
CHL,wireless telecommunications services
CHMA,pharmaceuticals
CHMG,banks
CHMI,specialized reits
CHNR,coal
CHRS,biotechnology & medical research
CHRW,ground freight & logistics
CHS,apparel & accessories retailers
CHSP,specialized reits
CHT,integrated telecommunications services
CHTR,broadcasting
CHU,wireless telecommunications services
CHUY,restaurants & bars
CI,managed health care
CIA,life & health insurance
CIB,banks
CIBR,exchange traded fund
CIC,holding companies
CIC.U,holding companies
CID,exchange traded fund
CIDM,entertainment production
CIEN,communications & networking
CIFS,investment management & fund operators
CIG,electric utilities
CIG.C,electric utilities
CIGI,real estate services
CIL,exchange traded fund
CIM,specialized reits
CINF,property & casualty insurance
CINR,agricultural chemicals
CIO,commercial reits
CIR,oil related services and equipment
CISN,software
CIT,banks
CIU,exchange traded fund
CIVB,banks
CIVI,healthcare facilities & services
CIX,home furnishings
CIZ,exchange traded fund
CIZN,banks
CJ,oil related services and equipment
CJJD,drug retailers
CJNK,exchange traded fund
CKH,oil related services and equipment
CKPT,biotechnology & medical research
CKX,oil & gas exploration and production
CL,personal products
CLAR,recreational products
CLB,oil related services and equipment
CLBS,biotechnology & medical research
CLCT,business support services
CLD,coal
CLDC,holding companies
CLDR,business support services
CLDT,specialized reits
CLDX,biotechnology & medical research
CLF,steel
CLFD,communications & networking
CLGN,biotechnology & medical research
CLGX,professional information services
CLH,environmental services & equipment
CLI,commercial reits
CLIR,industrial machinery & equipment
CLIX,exchange traded fund
CLLS,biotechnology & medical research
CLMT,oil & gas refining and marketing
CLNC,specialized reits
CLNE,oil & gas refining and marketing
CLNS,diversified reits
CLPR,residential reits
CLPS,it services & consulting
CLR,oil & gas exploration and production
CLRB,pharmaceuticals
CLRG,exchange traded fund
CLRO,communications & networking
CLS,semiconductors
CLSD,biotechnology & medical research
CLSN,biotechnology & medical research
CLTL,exchange traded fund
CLUB,leisure & recreation
CLVS,biotechnology & medical research
CLW,paper products
CLWT,environmental services & equipment
CLX,household products
CLXT,fishing & farming
CLY,exchange traded fund
CLYH,exchange traded fund
CM,banks
CMA,banks
CMBS,exchange traded fund
CMC,steel
CMCL,gold
CMCM,software
CMCO,heavy machinery & vehicles
CMCSA,broadcasting
CMCT,diversified reits
CMD,"medical equipment, supplies & distribution"
CMDT,exchange traded fund
CMDY,exchange traded fund
